Year,Set,Exam Code,Source File,Chapter,Question Number,Question Type,Question Text
2022,1,1,2-1-1 English L & L.pdf,Reading Comprehension,1,Comprehension,"1. Read the passage given below : Sifting through the sands of time 1 ntains, skeletons of marine animals, even tiny diamonds. Sand provides a mineral treasure- -changing processes. 2 Sand : as children we play on it and as adults we relax on it. It is something we complain about when it gets in our food, and praise we would discover an account of a geological past and a history of marine life that goes back thousands and, in some cases, millions of years. 3 Sand covers not just sea-shores, but also ocean beds, deserts and mountains. It is one of the most common substances on Earth. And it is a major element in man-made items too concrete is largely sand, while glass is made of little else. 4 What exactly is sand ? Well, it is larger than fine dust and smaller than shingle. Depending on its age and origin, a particular sand can consist of tiny pebbles or porous granules. Its grain may have the shape of stars or spirals, their edges jagged or smooth. They have come from the erosion of r"
2022,1,1,2-1-1 English L & L.pdf,Reading Comprehension,2,Comprehension,"2. Read the passage given below : Extraction And Purification Of Drinking Water 1 Some consumers choose to purchase bottled drinking water, rather than relying on city tap water supplies. Bottled water has typically been extracted from underground sources. If water exists underground, but has no natural exit points, bottling companies may construct a water table well by drilling down to extract water from an unconfined aquifer. This is done when the known as a water table In some cases, as with a valley or gully on a mountain, the level of the spring can emerge. Bottling companies are permitted to extract this water from a hole drilled into the underground spring, but the composition of the water must be identical to that of the naturally surfacing variety nearby. 2 Artesian water is drawn from a confined aquifer, a deep underground cavity of porous rock that holds water and bears pressure from a confining layer above it. This water can be accessed if companies drill a vertical channel"
2022,1,1,2-1-1 English L & L.pdf,Writing and Grammar,3,Long Answer,"3. Attempt any one from (i) and (ii). (i) You are Rita/Rahul and you came across the following information on your local club notice-board. Better Living How to tackle stress, build concentration and remain fit and healthy Yoga, a way of life Join free yoga camp for students. You wish to enrol but require more information. Write a letter to the Yoga Institute, M.G. Road, Pune, enquiring details of timing, batch size, eligibility, etc. for joining the course. 5 (ii) Internet provides every information one seeks at the click of a button. As a result children today are living in a comfort zone. According to research, this will result in long-term consequences which will affect their brain. Based on the following chart, write an analytical paragraph in not more than 120 words on activities to improve brain power : 5 Activities to stimulate Brain Power For the Visually Impaired Candidates only (in lieu of Q. No. 3(ii)) : (ii) Read the following report and write an analytical paragraph based"
2022,1,1,2-1-1 English L & L.pdf,Writing and Grammar,4,Gap Fill,"4. The following paragraph has not been edited. There is one error in each line. Identify the error and write its correction against the correct blank number. Remember to underline the correction. The first one has been done for you. 3 1=3 Error Correction While the worst for COVID-19 in India (e.g.) for of seems to be over, one may remain (a) _________ _________ vigilant and response quickly to (b) _________ _________ any future spike of cases. (c) _________ _________"
2022,1,1,2-1-1 English L & L.pdf,Writing and Grammar,5,Gap Fill,5. Read the conversation below and complete the passage that follows : 2 1=2 Rahul : It is difficult to fight against peer pressure. Youth easily gets influenced by the lifestyle of its peers. Radhika : Peer pressure has its benefits as well. Our peers also motivate and inspire us to do better and work hard. Rahul said that it was difficult to fight against peer pressure as (a) ___________ . Radhika replied that peer pressure had its benefits as well it (b) ___________ .
2022,1,1,2-1-1 English L & L.pdf,Literature,6,Short Answer,"6. Answer any six questions in 30 40 words each : 6 2=12 (i) How, according to Buddha, can one obtain peace of mind ? (The Sermon at Benares) (ii) ! Amanda ? (iii) animals. Justify. (iv) Write a brief character sketch of Lomov. (The Proposal) (v) What are the essential qualities for becoming a scientist, according to Ebri (The Making of a Scientist) (vi) Describe the feelings of the young lawyer when he came to know the reality of the hack driver. (vii) What attracts visitors to Coorg ? (Glimpses of India)"
2022,1,1,2-1-1 English L & L.pdf,Literature,7,Long Answer,7. Answer any two of the following in about 120 words each : 2 4=8 (i) Matilda realised that one little act of negligence can lead to total ruin. What do you learn from this and how would you move on in life ? (The Necklace) (ii) Imagine you are Bholi and you have been invited to give a speech on the importance of girl Girl Education and Empowerment. (iii) Valli was a mature girl and ahead of her age. Justify the statement with evidence from the text. (Madam Rides the Bus)
2022,1,1,2-1-1_English Language and Literature.pdf,Reading Comprehension,1,MCQ,"1. Read the following passage carefully : 10 (1) Saffron is a spice that’s long been revered across the globe, captivating hearts and palates with its deep-red hue and complex flavour. It is one of the most prized spices that you can find on this planet. Just like gold is among the most valuable metals in the world, saffron means the same in the world of spices. Also known as ‘kesar’ in Hindi, it has a rich history and is often called an ancient spice. Saffron is being used since ages in various foods made for the royals and the elite as it contains medicinal properties. (2) Originating from the delicate stigma of the saffron crocus flower, it transforms the ordinary into the extraordinary, infusing dishes with a subtle, earthy sweetness that adds a special taste to the palate. Saffron has a strong exotic aroma and a unique flavour and is used to colour and flavour many Mediterranean and Asian dishes, particularly rice, fish and English, Scandinavian, and Balkan breads. (3) Saffron for"
2022,1,1,2-1-1_English Language and Literature.pdf,Reading Comprehension,2,MCQ,"2. Read the following passage carefully : 10 (1) Silk is a natural protein fibre, some forms of which can be woven into textiles. Silk has a long history in India. It is known as Resham in eastern and northern India, and Pattu in the southern parts of India. India is the second largest producer of silk in the world after China. (2) Silk is renowned for its luxurious qualities with a natural soft and smooth texture that feels comfortable on the skin. One of its unique qualities is to absorb and release moisture, regulating the body temperature, and keeping the wearer cool and dry. (3) Silk is one of the strongest natural fibres, but it loses up to 20% of its strength when wet. Its elasticity is moderate to poor: if elongated even a small amount, it remains stretched. It can be weakened if exposed to too much sunlight. It may also be attacked by insects, especially if left dirty. (4) The process of silk production is known as sericulture. Silk is produced by several insects; but, general"
2022,1,1,2-1-1_English Language and Literature.pdf,Writing and Grammar,3,MCQ,"3. Complete any ten of the following twelve tasks, as directed. 101=10 (i) Fill in the blank by using the correct form of the word in the brackets, for the given portion of a letter. 1 ‘Thank you for _________ (consider) my application. I look forward to working in your organization. (ii) Read the given sentence. Identify the error and supply the correction in the sentence. Ninety-seven percent of the Earth’s water is salty ocean water and another two percent is trapping in the Earth’s ice caps and glaciers. 1 Error Correction (iii) Yukti and Sanjay had a conversation about going to a restaurant. Report Yukti’s question. 1 ‘‘Does this restaurant serve good South Indian food ?’’ (iv) Read the dialogue between Amit and his sister Ananya, regarding her travel to the railway station. 1 Amit : Are you sure you can manage to go to the railway station on your own ? Ananya : Oh yes! I have already booked a cab. Select the correct option to report the above dialogue. Amit asked Ananya ________"
